video_id,cluster,url,motion_mean,cut_rate_per_min,audio_rms_mean,audio_rms_std,visual_density,cluster_id,fusion_strategy,k_selected,video_available,audio_available
mpIYNvRmdB0,4,https://www.youtube.com/watch?v=mpIYNvRmdB0,18.12852835196715,39.108675136116155,4118.6961345606605,1206.1630477511872,0.0696928168402777,4.0,concat,6.0,1.0,1.0
mpkR9nxTO2g,4,https://www.youtube.com/watch?v=mpkR9nxTO2g,34.17626056304345,67.16417910447761,3976.1923153321327,2706.0774938232703,0.0543872170781893,4.0,concat,6.0,1.0,1.0
mqAuxy8g-fo,4,https://www.youtube.com/watch?v=mqAuxy8g-fo,46.09360184876815,82.91746641074856,4621.218307596084,1307.890158031361,0.0780499131944444,4.0,concat,6.0,1.0,1.0
mqQjo0LfZ-g,4,https://www.youtube.com/watch?v=mqQjo0LfZ-g,35.41409370226738,87.45762711864407,8447.84114168938,2148.584377391384,0.0734091042843691,4.0,concat,6.0,1.0,1.0
mr9MaNH2gd0,4,https://www.youtube.com/watch?v=mr9MaNH2gd0,23.618903415216195,25.036603221083457,3653.9859051055696,1507.778945989889,0.0271685820501207,4.0,concat,6.0,1.0,1.0
mu-q9xkhp6I,4,https://www.youtube.com/watch?v=mu-q9xkhp6I,27.940381876627605,52.94117647058824,3376.084541661399,1914.0723631170497,0.0904533179012345,4.0,concat,6.0,1.0,1.0
mv5flzcvQxw,4,https://www.youtube.com/watch?v=mv5flzcvQxw,29.60647973418236,87.39669421487604,3483.3558510449852,4184.493741828265,0.1173751335470085,4.0,concat,6.0,1.0,1.0
mv8GWCgcR3M,4,https://www.youtube.com/watch?v=mv8GWCgcR3M,36.820302294011704,87.90697674418604,2499.227608421598,1708.6659335627553,0.1344110692049808,4.0,concat,6.0,1.0,1.0
myznONAgVzM,4,https://www.youtube.com/watch?v=myznONAgVzM,26.62679138754168,45.91836734693878,6943.325598409901,2248.079476638417,0.0681002457038606,4.0,concat,6.0,1.0,1.0
n-aASeNYDeE,4,https://www.youtube.com/watch?v=n-aASeNYDeE,11.098501885309815,1.0,3214.0620984782936,2262.620686066242,0.1039873358096468,4.0,concat,6.0,1.0,1.0
n0LvMyBIuBg,4,https://www.youtube.com/watch?v=n0LvMyBIuBg,19.969711515244043,32.49097472924188,4981.119062867883,1734.524874244404,0.0414304641812865,4.0,concat,6.0,1.0,1.0
n2qF_QGWAVY,4,https://www.youtube.com/watch?v=n2qF_QGWAVY,47.779167816556736,84.75336322869954,1116.0716055841406,1250.915103456043,0.0817236689814814,4.0,concat,6.0,1.0,1.0
n30kOmALF4E,4,https://www.youtube.com/watch?v=n30kOmALF4E,15.777511617115566,3.3834586466165413,3695.226172675743,2081.483325987003,0.1582200581964006,4.0,concat,6.0,1.0,1.0
