video_id,cluster,cluster_id,fusion_strategy,k_selected
J_HjXWlKzWE,0,0,concat,6
Jaox7PS30Ls,0,0,concat,6
JeIZnoQJRNM,0,0,concat,6
Jn_a1CugHpA,0,0,concat,6
JuU0oGdQ41A,0,0,concat,6
JucRn-etd-Q,0,0,concat,6
Jynl0B_8cjg,0,0,concat,6
K4ZNjpyJBHo,0,0,concat,6
KAoM7D-opGA,0,0,concat,6
KC5Ev1-NNoE,0,0,concat,6
KHUW3YJSB30,0,0,concat,6
KNefMOwKGtw,0,0,concat,6
KOkio3P5AqQ,0,0,concat,6
KPsubQyprwI,0,0,concat,6
KVBJklaTTrs,0,0,concat,6
KVBLlM3x0X8,0,0,concat,6
KYVxWtdTmrA,0,0,concat,6
KZRpxDtv5Xo,0,0,concat,6
KffgIW_Jlc8,0,0,concat,6
KjXXvPj753M,0,0,concat,6
KpfLAJxhxEU,0,0,concat,6
KzGnBoAmjPg,0,0,concat,6
L6XsksBGcVw,0,0,concat,6
LCqnc_SNUp4,0,0,concat,6
LN5iGyRq6HQ,0,0,concat,6
LSdivsnHlv0,0,0,concat,6
LTit4dN9TXQ,0,0,concat,6
LfWVcHOJHt4,0,0,concat,6
Lis0RH3mLS8,0,0,concat,6
LkDC6lk5nz4,0,0,concat,6
LobAFGCimwg,0,0,concat,6
LqRDlszW8t8,0,0,concat,6
LtizxH8PAQs,0,0,concat,6
LuQgW1G7aDE,0,0,concat,6
LxTzNzsDR38,0,0,concat,6
M0xfq1J6F60,0,0,concat,6
M24rg70Kbgc,0,0,concat,6
M9gUuiqCubI,0,0,concat,6
MBw3E-OWRec,0,0,concat,6
ME76YA5nqt8,0,0,concat,6
MI1ht731gQE,0,0,concat,6
MRVqkaiYxII,0,0,concat,6
MTjj6sraNJw,0,0,concat,6
MUtlSdtIFgE,0,0,concat,6
M_WVlMVe9lI,0,0,concat,6
MdHZWvKm1ZY,0,0,concat,6
MfI7a7mHjBE,0,0,concat,6
MlW1vg5sEJ0,0,0,concat,6
Mnr87Bdjn7M,0,0,concat,6
Mo73QasuZUY,0,0,concat,6
Mq9g6pa8H-w,0,0,concat,6
MuOkK9rksCs,0,0,concat,6
MweOA3THp2o,0,0,concat,6
N00aik_wfno,0,0,concat,6
N2w9ALFqBo0,0,0,concat,6
NAh-ciCqi4w,0,0,concat,6
NBLBKQjSSi4,0,0,concat,6
