video_id,horizon,range_min_raw,range_max_raw,range_min_log,range_max_log,range_width_raw,range_midpoint_raw,range_midpoint_log
2OkEOW50ZT8,7,97867.92974242734,200948.1041887473,11.491384410858155,12.210806941986084,103080.17444631996,149408.01696558733,11.914442904381596
2OtYn2xN-tU,7,55136.52260535067,123851.46198400964,10.917585754394533,11.726846313476564,68714.93937865898,89493.99229468015,11.401937950682827
2OtqkvubdVk,7,122402.20534561355,164464.28413257454,11.71507583618164,12.010454788208008,42062.07878696099,143433.24473909405,11.873631984350064
2aPSctrD8no,7,35699.895151230274,95662.1957836141,10.48293104171753,11.468588924407959,59962.30063238382,65681.04546742218,11.092580886568026
2mLdiB4ewwA,7,34778.507869689,48305.567316462475,10.456783638000488,10.785322799682616,13527.059446773477,41542.03759307574,10.634485219289031
2qC65QrXZnU,7,208625.41782795277,337837.3930979955,12.248300457000733,12.730322933197021,129211.97527004272,273231.4054629741,12.518078014077192
2qq3tEmLkeE,7,214326.16234225154,388300.15693729423,12.275258922576905,12.869536495208738,173973.9945950427,301313.1596397729,12.615908719167733
2tuvu0LGZv8,7,137256.90153546756,771689.5312995492,11.829616928100586,13.556338882446289,634432.6297640816,454473.2164175084,13.026896461436051
2wfL6QZySbA,7,162971.76607508544,666512.3222673876,12.001338386535645,13.409815406799316,503540.5561923022,414742.0441712366,12.935414436775794
2z8lKA93SuU,7,2506023.0506711607,4107224.2150119147,14.734208011627198,15.228258228302002,1601201.164340754,3306623.6328415377,15.011438478669874
35dO8Xd_AoU,7,270321.7263829347,1509282.0434527188,12.507371807098389,14.227145290374756,1238960.317069784,889801.8849178267,13.698755239558112
3CVgzfmk6Jw,7,87920.06632921578,122343.53550102367,11.384194717407228,11.714596405029297,34423.46917180788,105131.80091511973,11.562979600611243
3UJSW53p5GI,7,339931.4074446552,561477.3821526411,12.736502075195313,13.238328552246093,221545.97470798588,450704.39479864814,13.01856917842882
3_w5Anu-HRw,7,1164492.9628796002,2210404.503725233,13.967797183990475,14.608686542510988,1045911.5408456328,1687448.7333024167,14.338728913612519
3daJ5RWx734,7,158944.07360137493,486857.34776228503,11.976313972473145,13.095728492736816,327913.2741609101,322900.71068182995,12.685103254601115
3g6Nr7dbChw,7,38909.52956696203,100090.28611325876,10.569020175933838,11.513837909698486,61180.756546296725,69499.90784011039,11.149095093915202
3i1k8cOOpkY,7,49964.18230419814,78004.1987498173,10.819081687927243,11.264530754089357,28040.016445619156,63984.19052700772,11.066406937549653
3ktZ_dLfiFY,7,144351.54406313278,205357.03016421956,11.880013809204101,12.232510223388672,61005.486101086775,174854.28711367617,12.071713980030795
3zI31zAnhas,7,163464.42282264336,840291.91099216,12.004356765747067,13.641505813598634,676827.4881695167,501878.16690740164,13.12611466632845
45FAhSCGkDY,7,195679.74711958997,1094348.5628597727,12.184239768981934,13.905670738220214,898668.8157401828,645014.1549896813,13.377029091609913
4C9jIUtBaj8,7,604190.1202590212,844812.5435329194,13.311645851135253,13.64687122344971,240622.4232738982,724501.3318959703,13.493240259365672
4EqLc55E7LM,7,119193.59716111812,249394.45820241747,11.688512706756594,12.426795101165771,130200.86104129936,184294.0276817678,12.124293163813592
4KsY-RE4AfU,7,38817.647557292985,97283.27736557514,10.566656017303467,11.485392665863037,58465.62980828215,68050.46246143406,11.128019498832286
4TGShN_RCSg,7,966823.7410635556,1881447.9881860744,13.78177251815796,14.44755277633667,914624.2471225188,1424135.864624815,14.169076479133844
4ZFgVn_UQew,7,96191.0893259289,167144.26708129921,11.474102401733399,12.026618576049804,70953.17775537031,131667.67820361405,11.788044032594252
4bq9hAPWJsE,7,452350.9235678954,794093.077057987,13.022215747833252,13.584957218170166,341742.15349009156,623222.0003129411,13.342659679649904
4fGOkiWCUGI,7,343036.11568592384,586683.7315757503,12.745593929290768,13.282242870330812,243647.61588982644,464859.92363083706,13.049493550867526
4qnrdL-0S7I,7,404017.6456970487,1005903.2034434979,12.90921630859375,13.821397399902343,601885.5577464493,704960.4245702733,13.465898363375782
4sZJgPoLnKo,7,75332.73080056088,104290.15017950264,11.229683265686035,11.554941787719729,28957.419378941762,89811.44049003176,11.405478780218871
4wM0fiXf8DQ,7,23770.866655420505,382317.4759126999,10.076258087158203,12.854009246826172,358546.6092572794,203044.1712840602,12.221183751911015
4x4fj9wM4go,7,124555.26936203697,277507.3072526432,11.732512855529786,12.533606147766113,152952.03789060627,201031.2883073401,12.21122081248523
5-y_qpSJjoc,7,147924.58560182055,569758.079839939,11.904464626312253,13.252968883514406,421833.49423811847,358841.3327208798,12.790638386379099
52fhp--qH5o,7,191166.04034794436,1823087.1798905905,12.160902881622315,14.41604242324829,1631921.1395426462,1007126.6101192674,13.822612886729873
